original_frame_idx,extracted_15hz_idx,time_sec,success,reason,frame_keypoints,satellite_keypoints,good_matches,inliers,inlier_ratio,sat_px,sat_py,estimated_lat,estimated_lon,runtime_sec
450,225,15.015,False,not_enough_inliers,5893,2935,566,1,0.0017667844522968198,,,,,0.13811516761779785
480,240,16.016000000000002,True,success,5899,2935,546,31,0.056776556776556776,539.6791381835938,1135.955078125,43.521399062512,-5.624376289684989,0.13915419578552246
510,255,17.017,True,success,6390,2935,635,20,0.031496062992125984,144.02137756347656,73.07073974609375,43.52250157015973,-5.624942282651574,0.1431901454925537
540,270,18.018,True,success,6310,2935,649,27,0.04160246533127889,539.2432861328125,1130.6219482421875,43.521404594506144,-5.624376913176377,0.14231395721435547
570,285,19.019000000000002,False,not_enough_inliers,6334,2935,630,5,0.007936507936507936,,,,,0.14293885231018066
600,300,20.02,False,not_enough_inliers,6404,2935,596,1,0.0016778523489932886,,,,,0.1441669464111328
630,315,21.021,True,success,6103,2935,578,19,0.0328719723183391,539.1849975585938,1130.5755615234375,43.521404642622564,-5.624376996558823,0.14109325408935547
660,330,22.022000000000002,True,success,6146,2935,601,17,0.028286189683860232,143.5801544189453,67.37979125976562,43.522507473207106,-5.624942913826345,0.14220595359802246
690,345,23.023,True,success,6040,2935,583,21,0.036020583190394515,536.6098022460938,1128.708740234375,43.521406579054634,-5.624380680405267,0.1392366886138916
720,360,24.024,True,success,6078,2935,575,28,0.04869565217391304,539.2620849609375,1130.534912109375,43.521404684787726,-5.624376886284409,0.14146709442138672
750,375,25.025000000000002,True,success,6063,2935,620,21,0.03387096774193549,143.4305877685547,67.77136993408203,43.52250706703448,-5.624943127783155,0.14191293716430664
780,390,26.026,True,success,5852,2935,577,14,0.024263431542461005,143.41026306152344,68.39654541015625,43.522506418559075,-5.624943156857881,0.1393280029296875
810,405,27.027,True,success,5747,2935,612,16,0.026143790849673203,-2.510650396347046,144.4071502685547,43.52242757502695,-5.625151898398968,0.13694310188293457
840,420,28.028000000000002,True,success,5960,2935,639,17,0.026604068857589983,143.59840393066406,68.29153442382812,43.522506527483756,-5.624942887720209,0.139862060546875
870,435,29.029,False,not_enough_inliers,6033,2935,652,1,0.0015337423312883436,,,,,0.14125895500183105
900,450,30.03,False,not_enough_inliers,6212,2935,653,3,0.004594180704441042,,,,,0.1420760154724121
930,465,31.031,False,not_enough_inliers,6163,2935,662,2,0.0030211480362537764,,,,,0.14204883575439453
960,480,32.032000000000004,True,success,5984,2935,676,16,0.023668639053254437,143.67079162597656,66.9913101196289,43.52250787616672,-5.6249427841687805,0.14060115814208984
990,495,33.033,True,success,5689,2935,674,17,0.025222551928783383,143.8311309814453,67.7679672241211,43.52250707056403,-5.624942554801493,0.13655781745910645
1020,510,34.034,True,success,5142,2935,630,19,0.03015873015873016,325.2398986816406,347.2543029785156,43.522217167224376,-5.624683047477703,0.1306920051574707
1050,525,35.035000000000004,True,success,4837,2935,574,13,0.02264808362369338,28.188201904296875,302.64697265625,43.52226343725083,-5.625107983338495,0.12964510917663574
1080,540,36.036,True,success,4639,2935,578,23,0.039792387543252594,146.94898986816406,77.1297607421875,43.52249735986066,-5.624938094668579,0.13528227806091309
1110,555,37.037,False,not_enough_inliers,4498,2935,552,0,0.0,,,,,0.12587308883666992
1140,570,38.038000000000004,True,success,4485,2935,525,36,0.06857142857142857,23.459383010864258,294.9206848144531,43.52227145152513,-5.625114747968183,0.16767430305480957
1170,585,39.039,True,success,4107,2935,515,18,0.03495145631067961,322.4048156738281,341.173095703125,43.522223475104994,-5.624687103096477,0.12303686141967773
1200,600,40.04,True,success,4179,2935,516,26,0.050387596899224806,23.772863388061523,295.1036376953125,43.522271261752955,-5.625114299530907,0.12166404724121094
1230,615,41.041000000000004,True,success,4145,2935,489,27,0.05521472392638037,347.74365234375,293.1079406738281,43.522273331836594,-5.624650855599867,0.12156319618225098
1260,630,42.042,True,success,4445,2935,566,59,0.10424028268551237,23.924673080444336,291.7254638671875,43.52227476584313,-5.625114082365428,0.127579927444458
1290,645,43.043,True,success,4116,2935,509,23,0.04518664047151277,23.565048217773438,294.9615783691406,43.522271409107354,-5.625114596812892,0.12157297134399414
