frame_idx,cum_x,cum_y,cum_yaw,dx,dy,dyaw,good_matches,inliers,inlier_ratio,mean_score
1775,231.073497,365.674423,-131.671071,0.258087158203125,0.489410400390625,0.06634958561995558,210,208,0.9904761904761905,1.0
1776,231.503517,365.258995,-131.60363,0.0244140625,0.597412109375,0.06744106706204238,212,211,0.9952830188679245,1.0
1777,232.038996,364.633937,-131.538949,0.111846923828125,0.8154296875,0.06468139626202257,215,214,0.9953488372093023,1.0
1778,232.593545,364.055594,-131.494594,0.065155029296875,0.7985992431640625,0.044354508198986044,210,210,1.0,1.0
1779,233.231136,363.441576,-131.44398,0.0374755859375,0.8843841552734375,0.05061376092107231,209,209,1.0,1.0
1780,234.054436,362.609172,-131.398673,0.07904052734375,1.1681060791015625,0.04530725871823444,210,208,0.9904761904761905,1.0
1781,235.045211,361.821324,-131.371478,-0.064208984375,1.2642059326171875,0.02719493777670137,205,204,0.9951219512195122,1.0
1782,236.031347,360.919332,-131.338509,0.025115966796875,1.3361968994140625,0.032969371096777805,201,200,0.9950248756218906,1.0
1783,237.201837,359.832327,-131.314109,0.04302978515625,1.5968017578125,0.02439976981205255,200,198,0.99,1.0
1784,238.477717,358.656234,-131.316465,0.041046142578125,1.7347564697265625,-0.002356382145286914,207,206,0.9951690821256038,1.0
1785,239.933991,357.380634,-131.311832,-0.003387451171875,1.935943603515625,0.004633032509838046,214,214,1.0,1.0
1786,241.569792,355.981384,-131.288842,-0.02886962890625,2.1524200439453125,0.022990129929665103,211,211,1.0,1.0
1787,243.211127,354.504789,-131.302137,0.026458740234375,2.2076263427734375,-0.013295104056648703,202,202,1.0,1.0
1788,245.045515,352.81821,-131.270919,0.0562744140625,2.4912567138671875,0.031217890732638177,207,206,0.9951690821256038,1.0
1789,247.120882,351.177223,-131.26541,-0.135589599609375,2.64227294921875,0.00550986696318403,217,216,0.9953917050691244,1.0
1790,249.217538,349.067435,-131.266423,0.2030029296875,2.9674835205078125,-0.0010130284687512826,210,210,1.0,1.0
1791,251.575139,347.193887,-131.246909,-0.146728515625,3.0078125,0.019513917084101266,206,206,1.0,1.0
1792,253.937623,345.139398,-131.213478,-0.01287841796875,3.130828857421875,0.03343089150748446,213,213,1.0,1.0
1793,256.254661,343.106006,-131.19265,0.003021240234375,3.0827484130859375,0.020827795902217578,215,215,1.0,1.0
1794,258.719864,341.048004,-131.162141,-0.074920654296875,3.21044921875,0.030508498280221705,214,213,0.9953271028037384,1.0
1795,261.140964,338.997714,-131.128701,-0.04998779296875,3.172210693359375,0.03344041637640639,204,204,1.0,1.0
1796,263.682844,337.016926,-131.094096,-0.179931640625,3.217498779296875,0.03460531477763762,215,215,1.0,1.0
1797,266.172639,335.008016,-131.064625,-0.12255859375,3.19683837890625,0.029470652942052176,210,210,1.0,1.0
1798,268.52582,333.034059,-131.051471,-0.057525634765625,3.0709381103515625,0.013154259792397838,206,206,1.0,1.0
1799,270.966733,331.08463,-131.001602,-0.1329345703125,3.121002197265625,0.049868412185987906,212,211,0.9952830188679245,1.0
1800,273.136569,328.985777,-130.95996,0.160400390625,3.0145721435546875,0.041642608168240516,214,214,1.0,1.0
1801,275.603796,327.044192,-130.930265,-0.151123046875,3.1359405517578125,0.029694671710085517,223,221,0.9910313901345291,1.0
1802,277.890921,325.087042,-130.896888,-0.019744873046875,3.0101470947265625,0.03337672118395354,210,209,0.9952380952380953,1.0
1803,280.099074,323.165729,-130.858315,0.006622314453125,2.927001953125,0.03857370894140666,215,215,1.0,1.0
1804,282.310242,321.33879,-130.832751,-0.06475830078125,2.8675384521484375,0.02556414403808822,219,218,0.9954337899543378,1.0
1805,284.419374,319.446516,-130.801486,0.05267333984375,2.8330841064453125,0.031264923881258996,210,210,1.0,1.0
1806,286.581135,317.64377,-130.779829,-0.047943115234375,2.81439208984375,0.021656876158491628,220,219,0.9954545454545455,1.0
1807,288.745764,315.790224,-130.777153,-0.010284423828125,2.849761962890625,0.0026761584275657173,217,216,0.9953917050691244,1.0
1808,290.837303,313.958705,-130.767857,0.020904541015625,2.780029296875,0.00929601889779675,216,215,0.9953703703703703,1.0
1809,292.982142,312.151658,-130.732922,-0.031982421875,2.804412841796875,0.034934536264972935,219,217,0.9908675799086758,1.0
1810,295.0269,310.371109,-130.715712,0.01495361328125,2.7113037109375,0.01721045964570452,214,214,1.0,1.0
1811,297.252426,308.556853,-130.731288,-0.07659912109375,2.87030029296875,-0.015576938986044496,218,218,1.0,1.0
1812,299.419038,306.756857,-130.716814,-0.04974365234375,2.8163299560546875,0.01447485972145574,215,215,1.0,1.0
1813,301.469821,304.920753,-130.680841,0.05389404296875,2.752105712890625,0.03597284120013753,216,216,1.0,1.0
1814,303.693782,303.271113,-130.667462,-0.19866943359375,2.7618560791015625,0.01337870793525127,221,220,0.995475113122172,1.0
1815,305.800079,301.491144,-130.706472,-0.022491455078125,2.7575836181640625,-0.039010175428822264,223,223,1.0,1.0
1816,308.04527,299.731513,-130.692678,-0.13037109375,2.8495941162109375,0.013793803939153032,212,212,1.0,1.0
1817,310.120118,297.947043,-130.679216,0.000213623046875,2.736663818359375,0.013462119710142816,220,219,0.9954545454545455,1.0
1818,312.248968,296.295231,-130.68893,-0.13494873046875,2.6911468505859375,-0.009713705289786826,216,216,1.0,1.0
1819,314.309521,294.489922,-130.659484,0.0255126953125,2.739410400390625,0.029445875479495443,213,212,0.9953051643192489,1.0
1820,316.522905,292.824334,-130.666263,-0.17864990234375,2.7642974853515625,-0.006778378933107603,218,217,0.9954128440366973,1.0
1821,318.573703,291.089023,-130.664651,-0.0201416015625,2.6863861083984375,0.0016120202559819045,222,221,0.9954954954954955,1.0
1822,320.643479,289.347728,-130.653902,-0.02789306640625,2.704681396484375,0.010748592122013125,216,215,0.9953703703703703,1.0
1823,322.73602,287.559314,-130.653757,-0.0064697265625,2.752655029296875,0.0001452792204200045,218,218,1.0,1.0
1824,324.874688,285.850567,-130.641558,-0.096954345703125,2.735748291015625,0.01219837431205014,219,219,1.0,1.0
1825,326.980736,284.118303,-130.62417,-0.057281494140625,2.7263336181640625,0.017387976593901847,220,219,0.9954545454545455,1.0
1826,329.071473,282.383216,-130.631984,-0.044342041015625,2.7165679931640625,-0.007814184658674492,219,219,1.0,1.0
1827,331.216631,280.674051,-130.629917,-0.099822998046875,2.7409820556640625,0.0020678941700986823,220,220,1.0,1.0
1828,333.242822,278.963506,-130.603024,-0.021209716796875,2.6515960693359375,0.026892966844223522,219,219,1.0,1.0
1829,335.363751,277.156027,-130.604364,-0.008026123046875,2.78662109375,-0.0013400325413137557,216,216,1.0,1.0
1830,337.446423,275.437813,-130.596406,-0.05096435546875,2.6994781494140625,0.007957556510916815,216,216,1.0,1.0
1831,339.531351,273.708714,-130.562043,-0.043792724609375,2.708282470703125,0.03436294784923259,220,220,1.0,1.0
1832,341.642098,271.977811,-130.579176,-0.057586669921875,2.729095458984375,-0.017133052125878043,221,221,1.0,1.0
1833,343.725487,270.239732,-130.569299,-0.03515625,2.7129669189453125,0.009876800680673923,224,224,1.0,1.0
1834,345.900323,268.467162,-130.577831,-0.067962646484375,2.80487060546875,-0.008531311376012384,217,217,1.0,1.0
1835,347.941654,266.628535,-130.567076,0.068634033203125,2.746429443359375,0.010754514166707124,217,217,1.0,1.0
1836,350.053905,264.855012,-130.582834,-0.02642822265625,2.7579498291015625,-0.015757434743235384,225,225,1.0,1.0
1837,352.18964,263.166617,-130.582241,-0.10711669921875,2.72039794921875,0.0005926409555294448,219,218,0.9954337899543378,1.0
1838,354.213301,261.346985,-130.573375,0.06549072265625,2.7206573486328125,0.0088662964928604,217,215,0.9907834101382489,1.0
1839,356.268241,259.691886,-130.570196,-0.07940673828125,2.63739013671875,0.003178465008261795,220,220,1.0,1.0
1840,358.276121,257.902389,-130.556539,0.053436279296875,2.689056396484375,0.013657554565874827,221,221,1.0,1.0
1841,360.315958,256.220384,-130.575131,-0.048370361328125,2.6434326171875,-0.018592505550176594,213,212,0.9953051643192489,1.0
1842,362.360449,254.43989,-130.569914,0.022552490234375,2.7110137939453125,0.0052169787349727395,214,214,1.0,1.0
1843,364.405281,252.739137,-130.568792,-0.037994384765625,2.6594085693359375,0.001122030872906307,218,218,1.0,1.0
1844,366.426228,250.94585,-130.572026,0.047882080078125,2.701446533203125,-0.0032342603515045074,223,223,1.0,1.0
1845,368.539673,249.145519,-130.582051,-0.007080078125,2.7762908935546875,-0.010024179519542592,228,227,0.9956140350877193,1.0
1846,370.518429,247.331655,-130.580598,0.09033203125,2.68280029296875,0.0014525392306682376,225,224,0.9955555555555555,1.0
1847,372.61327,245.599229,-130.58545,-0.046966552734375,2.717987060546875,-0.0048519095480317465,226,226,1.0,1.0
1848,374.622477,243.84639,-130.571944,0.024017333984375,2.666229248046875,0.013505835080993213,225,225,1.0,1.0
1849,376.749458,242.168543,-130.57849,-0.108917236328125,2.7069091796875,-0.006545988965996715,218,218,1.0,1.0
1850,378.740127,240.461941,-130.583077,0.00128173828125,2.6220703125,-0.004586677328349291,221,221,1.0,1.0
1851,380.847308,238.773518,-130.584613,-0.088531494140625,2.69873046875,-0.00153584009726051,226,226,1.0,1.0
1852,382.892269,237.101774,-130.589168,-0.060791015625,2.640625,-0.00455549511322152,221,221,1.0,1.0
1853,384.923873,235.385819,-130.590749,-0.01873779296875,2.65924072265625,-0.0015807604928598157,220,220,1.0,1.0
1854,386.980713,233.698661,-130.605415,-0.057098388671875,2.65966796875,-0.014666128219374165,216,215,0.9953703703703703,1.0
1855,389.013484,231.980191,-130.607605,-0.018341064453125,2.6617584228515625,-0.0021901205956827777,221,221,1.0,1.0
1856,391.151395,230.175828,-130.630467,-0.02166748046875,2.7974853515625,-0.022862117552942568,223,222,0.9955156950672646,1.0
1857,393.209869,228.369834,-130.621541,0.030181884765625,2.738250732421875,0.00892582862393464,220,220,1.0,1.0
1858,395.272639,226.737704,-130.649717,-0.104156494140625,2.6283111572265625,-0.02817521401506921,219,219,1.0,1.0
1859,397.246122,224.975435,-130.64245,0.05145263671875,2.645294189453125,0.007267061762197767,220,220,1.0,1.0
1860,399.097003,223.424705,-130.677577,-0.02886962890625,2.4144744873046875,-0.035127375821969835,218,218,1.0,1.0
1861,400.898482,221.931342,-130.676404,-0.041656494140625,2.339599609375,0.0011732352539493656,216,216,1.0,1.0
1862,402.584568,220.485144,-130.688246,-0.002166748046875,2.221343994140625,-0.011841983652625052,219,219,1.0,1.0
1863,404.224828,219.136702,-130.67477,-0.046875,2.12286376953125,0.013476133098495463,219,219,1.0,1.0
1864,405.840156,217.781694,-130.676432,-0.025146484375,2.108245849609375,-0.0016619206043445268,225,225,1.0,1.0
1865,407.41319,216.507097,-130.663153,-0.058624267578125,2.0237579345703125,0.013278602530167495,222,222,1.0,1.0
1866,408.853521,215.31907,-130.664831,-0.037353515625,1.86669921875,-0.001678312949752439,224,224,1.0,1.0
1867,410.250047,214.119601,-130.656527,-0.00018310546875,1.8409271240234375,0.008304577629645192,224,224,1.0,1.0
1868,411.633615,213.028116,-130.660024,-0.073394775390625,1.7607421875,-0.0034974435088923773,216,216,1.0,1.0
1869,413.019696,211.922384,-130.67,-0.0643310546875,1.7719268798828125,-0.009975485728125968,223,223,1.0,1.0
1870,414.34578,210.80539,-130.65648,-0.016998291015625,1.7337493896484375,0.013519623092338373,219,219,1.0,1.0
1871,415.594408,209.780678,-130.663642,-0.0361328125,1.6148681640625,-0.007161891322842669,221,221,1.0,1.0
1872,416.80454,208.721825,-130.660549,0.0146484375,1.60791015625,0.00309259535098303,222,222,1.0,1.0
1873,418.005918,207.652099,-130.64719,0.0286865234375,1.6083526611328125,0.013359736566917193,217,217,1.0,1.0
1874,419.208449,206.685932,-130.670305,-0.050262451171875,1.5417633056640625,-0.023115318080692077,224,222,0.9910714285714286,1.0
1875,420.385655,205.658744,-130.655927,0.01190185546875,1.5623016357421875,0.01437778256867063,222,222,1.0,1.0
1876,421.616048,204.655988,-130.665647,-0.0408935546875,1.58673095703125,-0.00971980610943777,217,217,1.0,1.0
1877,422.8613,203.649326,-130.68547,-0.047882080078125,1.6005401611328125,-0.019823037165917275,217,217,1.0,1.0
1878,424.054379,202.600301,-130.690438,0.0177001953125,1.5885772705078125,-0.00496810938341539,220,220,1.0,1.0
1879,425.208571,201.601354,-130.670327,0.00494384765625,1.5264434814453125,0.020110999678618686,220,219,0.9954545454545455,1.0
1880,426.317848,200.641585,-130.677376,0.005035400390625,1.4668426513671875,-0.007049046817869498,220,220,1.0,1.0
1881,427.476035,199.717327,-130.678815,-0.053955078125,1.4807891845703125,-0.0014387370176819029,224,224,1.0,1.0
1882,428.519639,198.740681,-130.666223,0.0604248046875,1.42803955078125,0.012592099029668331,218,218,1.0,1.0
1883,429.538844,197.82862,-130.66443,0.02764892578125,1.367431640625,0.001793057539668829,218,218,1.0,1.0
1884,430.537227,197.010339,-130.657927,-0.029876708984375,1.29052734375,0.0065021896409704,210,210,1.0,1.0
1885,431.366657,196.245559,-130.648069,0.039764404296875,1.12750244140625,0.009858443570586989,212,212,1.0,1.0
1886,432.116313,195.649477,-130.647207,-0.03607177734375,0.9570770263671875,0.000861540937751566,225,225,1.0,1.0
1887,432.775773,195.082021,-130.630927,0.0009765625,0.8699951171875,0.01628082627957365,220,220,1.0,1.0
1888,433.351879,194.530437,-130.602981,0.04345703125,0.7964019775390625,0.027946023476506602,225,224,0.9955555555555555,1.0
1889,433.803621,194.132997,-130.591432,0.00775146484375,0.6016387939453125,0.011548808859060894,223,223,1.0,1.0
1890,434.248978,193.781899,-130.578285,-0.023162841796875,0.5666351318359375,0.01314709101780033,222,221,0.9954954954954955,1.0
1891,434.54929,193.520518,-130.512202,0.003173828125,0.3981170654296875,0.06608223213809594,224,223,0.9955357142857143,1.0
1892,434.844614,193.199057,-130.475684,0.05255126953125,0.433349609375,0.036518268058635804,227,227,1.0,1.0
1893,435.053553,193.036486,-130.47759,-0.011962890625,0.26446533203125,-0.001905605821169092,228,227,0.9956140350877193,1.0
1894,435.169251,192.952914,-130.469069,-0.01153564453125,0.1422576904296875,0.008521206529513832,239,239,1.0,1.0
1895,435.21768,192.952715,-130.454099,-0.031280517578125,0.0369720458984375,0.01497010700505283,245,245,1.0,1.0
