frame_idx,cum_x,cum_y,cum_yaw,dx,dy,dyaw,good_matches,inliers,inlier_ratio,mean_score
36,5.5694275,12.470825,-13.075952960659516,0.342376708984375,0.05560302734375,-0.401481448744842,211,211,1.0,1.0
37,5.572296,12.587402,-13.339760866889979,0.00286865234375,0.1165771484375,-0.26380790623046263,214,214,1.0,1.0
38,5.3410645,12.905334,-13.450084243136864,-0.231231689453125,0.31793212890625,-0.1103233762468862,212,212,1.0,1.0
39,5.5152893,12.89888,-13.706669614942415,0.174224853515625,-0.0064544677734375,-0.25658537180555063,215,214,0.9953488372093023,1.0
40,5.385437,13.209595,-13.8432212837011,-0.129852294921875,0.3107147216796875,-0.1365516687586852,220,218,0.990909090909091,1.0
41,5.256256,13.29686,-13.859677184409948,-0.129180908203125,0.0872650146484375,-0.016455900708849017,218,217,0.9954128440366973,1.0
42,5.844055,13.375275,-14.201230341150993,0.587799072265625,0.0784149169921875,-0.34155315674104364,216,215,0.9953703703703703,1.0
43,5.5966797,13.524673,-14.28319660959949,-0.24737548828125,0.1493988037109375,-0.08196626844849732,214,213,0.9953271028037384,1.0
44,5.5539246,13.638031,-14.246906291929792,-0.042755126953125,0.1133575439453125,0.03629031766969829,214,213,0.9953271028037384,1.0
45,5.4727173,13.596359,-14.366092271882543,-0.081207275390625,-0.0416717529296875,-0.11918597995275201,214,213,0.9953271028037384,1.0
46,5.403839,13.634033,-14.467803754504496,-0.068878173828125,0.0376739501953125,-0.10171148262195358,218,218,1.0,1.0
47,5.4021606,13.648972,-14.561807995415368,-0.001678466796875,0.0149383544921875,-0.09400424091087167,211,210,0.995260663507109,1.0
48,5.3572083,13.66655,-14.537184821451506,-0.044952392578125,0.017578125,0.024623173963862592,223,221,0.9910313901345291,1.0
