ms,source,est_lat,est_lon,gt_lat,gt_lon,pos_err_m
146412,vo,43.52145768455775,-5.624609550103165,43.521464,-5.624587,1.945683892802227
146613,vo,43.52146235637289,-5.624609306163809,43.52147,-5.624587,1.9857573609004526
146813,vo,43.5214670729158,-5.624609059888988,43.521475,-5.624587,1.9816227104583106
147013,vo,43.521471811448684,-5.624608812465958,43.52148,-5.624587,1.9769731839344005
147213,vo,43.521476580037614,-5.624608563473547,43.521486,-5.624587,2.026231738824165
147413,vo,43.521481482484376,-5.6246083074917355,43.521492,-5.624587,2.074640683779352
147614,vo,43.521486453738916,-5.624608047917117,43.521497,-5.624587,2.0592155674560404
147814,vo,43.5214913625642,-5.62460779160225,43.521502,-5.624587,2.048094582037336
148014,vo,43.521496277105726,-5.6246075349889075,43.521507,-5.624587,2.0367817559881223
148214,vo,43.5215010829846,-5.624607284049399,43.521513,-5.624587,2.10124182057862
148414,vo,43.52150583713296,-5.624607035811004,43.521519,-5.624586,2.236387607474873
148615,vo,43.52151060233999,-5.62460678699518,43.521524,-5.624586,2.2384930927507063
148815,vo,43.52151542951428,-5.624606534943728,43.521529,-5.624586,2.236247611058711
149015,vo,43.52152036029797,-5.6246062774823,43.521534,-5.624586,2.2261933208067743
149215,vo,43.521524658379434,-5.624606053057491,43.521539,-5.624586,2.2670006776160494
149415,vo,43.521528334204014,-5.624605861123895,43.521543,-5.624586,2.281561482677217
149616,vo,43.52153158634245,-5.624605691313119,43.521547,-5.624586,2.3322040382353473
149816,vo,43.52153451393793,-5.62460553844839,43.52155,-5.624586,2.3297836047227096
150016,anchor,43.521537242904046,-5.624605395955115,43.521554,-5.624586,2.4283516047981903
150216,vo,43.52154109437668,-5.624605779048338,43.521557,-5.624586,2.377278045935977
150416,vo,43.52154503986817,-5.624606171493305,43.52156,-5.624586,2.322380715639439
150617,vo,43.521548568759215,-5.624606522500405,43.521563,-5.624586,2.3009691609772096
150817,vo,43.5215515249214,-5.624606816540063,43.521565,-5.624586,2.245983896609103
151017,vo,43.52155340054148,-5.6246070031017785,43.521566,-5.624585,2.2566097717867684
151217,vo,43.521554435722635,-5.624607106067819,43.521567,-5.624585,2.260708435824891
151417,vo,43.52155460474025,-5.624607122879441,43.521568,-5.624585,2.319786008451882
151618,vo,43.521554433349394,-5.62460710583176,43.521568,-5.624585,2.330977942290091
151818,vo,43.52155445390632,-5.624607107876489,43.521568,-5.624585,2.329630157409586
152018,vo,43.521556131758516,-5.6246072747668885,43.521568,-5.624584,2.2901655993767847
152218,vo,43.5215570942175,-5.624607370499495,43.521568,-5.624585,2.169654145122337
152418,vo,43.5215575088962,-5.6246074117462115,43.521568,-5.624585,2.1471010933545607
152619,vo,43.52155801773399,-5.624607462358621,43.521569,-5.624586,2.1142724659059264
152819,vo,43.521559175306955,-5.624607577498568,43.52157,-5.624586,2.111850970981253
153019,vo,43.52156133554663,-5.624607792370452,43.521572,-5.624586,2.116095205414572
153219,vo,43.52156477912824,-5.624608134892106,43.521575,-5.624587,2.044717879979642
153419,vo,43.52156953439131,-5.624608607882369,43.521579,-5.624587,2.031907296375804
153620,vo,43.52157569253176,-5.624609220412197,43.521584,-5.624588,1.941012549796573
153820,vo,43.521583271425,-5.624609974259598,43.52159,-5.624588,1.9198884813385806
154020,vo,43.5215912470904,-5.624610767572611,43.521596,-5.624589,1.8297315698798828
154220,vo,43.52159888763339,-5.6246115275521085,43.521602,-5.62459,1.7668091957416685
154420,vo,43.52160615345354,-5.624612250259166,43.521608,-5.62459,1.802564066392315
154621,vo,43.52161307317105,-5.624612938540542,43.521614,-5.62459,1.8491350291135806
154821,vo,43.52161987655331,-5.624613615250435,43.52162,-5.624591,1.8203014717128563
155021,anchor,43.52162650162247,-5.624614274224115,43.521625,-5.624592,1.8005329266412609
155221,vo,43.52162873308002,-5.624613969589832,43.521631,-5.624592,1.78609555336562
155421,vo,43.521630935561745,-5.624613668911272,43.521636,-5.624592,1.8324391605575319
155622,vo,43.521633153169724,-5.624613366167705,43.521642,-5.624593,1.9108588355241078
155822,vo,43.52163539660635,-5.624613059898061,43.521647,-5.624593,2.0653656839046466
156022,vo,43.52163758512358,-5.624612761125908,43.521652,-5.624594,2.2000870718028835
156222,vo,43.5216397964982,-5.624612459233307,43.521658,-5.624594,2.5080278917359142
156422,vo,43.52164198898159,-5.6246121599197005,43.521664,-5.624595,2.8065898650101233
156623,vo,43.521644172638595,-5.624611861811055,43.521669,-5.624595,3.0718955183690935
156823,vo,43.521646380365716,-5.624611560416405,43.521674,-5.624596,3.311731033118168
157023,vo,43.52164852927152,-5.624611267051926,43.521679,-5.624596,3.598554204363775
157223,vo,43.52165041090002,-5.62461101017563,43.521684,-5.624597,3.8951865066743467
